"date","rt_raw","rt_loess","incidence_raw","incidence_loess","expected_cases_raw","expected_cases_loess","obs_cases_raw","obs_cases_loess","I_trace_raw","I_trace_loess"
2022-06-01,1,1,6853,6853,100,100,88,88,18333.1372395818,18333.1372395818
2022-06-02,0.98040901338489,0.941715105840546,6628,6368,100.014428265834,100.014428265834,119,119,18407.783359608,18407.783359608
2022-06-03,0.975013512706729,0.940771550990762,6531,6266,100.119708226663,100.099575762709,107,107,18445.7120907108,18341.55471393
2022-06-04,0.96980088621256,0.939869800932593,6472,6175,100.285353860783,100.093621742797,76,76,18379.5970873629,18094.7414433413
2022-06-05,0.964788641472476,0.939011322516376,6422,6087,100.306799778805,99.6609420418073,127,126,18226.0975666932,17747.2412376831
2022-06-06,0.959994286057209,0.93819758259245,6478,6110,100.033778559634,98.6884611850874,103,101,18040.863437944,17394.9248575553
2022-06-07,0.955435327537331,0.937430048011152,6370,5981,99.4828511402791,97.3246961067358,104,101,17904.0777272672,17123.2131960672
2022-06-08,0.951129273482069,0.936710185622821,6083,5689,98.8033079242574,95.834058964095,108,105,17790.6874220674,16901.8558187845
2022-06-09,0.9470936314606,0.936039462277793,6116,5713,98.1026917670866,94.3913735913567,97,93,17578.168005789,16608.1365118779
2022-06-10,0.94334590904177,0.935419344826407,5917,5518,97.283125258026,92.9346051482125,110,105,17317.448679025,16289.6090270833
2022-06-11,0.939903613793924,0.934851300119001,5709,5320,96.2348613605348,91.3700845545298,114,108,17013.9886586519,15950.0938850891
2022-06-12,0.936742838325236,0.934336795005913,5715,5332,94.9515212270203,89.6937215433411,98,92,16649.4251091938,15570.1641438409
2022-06-13,0.933822234980773,0.93387729633748,5512,5147,93.4232162230427,87.8920487017467,90,85,16297.2787583003,15218.4567591232
2022-06-14,0.93113315092765,0.93347427096404,5400,5052,91.7072395479364,86.012722333669,96,90,15947.2554345114,14883.1448284195
2022-06-15,0.928666933321586,0.933129185735932,5297,4969,89.8999233735348,84.1392221985722,89,83,15597.7179930591,14560.5684617497
2022-06-16,0.926414929301591,0.932843507503492,5125,4822,88.0454990185519,82.3040836094196,97,91,15255.6232005374,14255.7721455773
2022-06-17,0.924368486046911,0.932618703117059,4931,4654,86.171228937768,80.5235191401153,84,79,14902.4472561305,13949.584745908
2022-06-18,0.922518950767956,0.932456239426971,4952,4717,84.2751837598973,78.7863614706451,77,89,14510.5595276151,13613.4803108044
2022-06-19,0.920857670628639,0.932357583283565,4642,4561,82.3177921456401,77.0470265125735,78,64,14155.0043403698,13326.9864785606
2022-06-20,0.919375992783301,0.93232420153718,4442,4406,80.3267601711926,75.3434633645437,85,94,13772.9438792356,13074.3142330162
2022-06-21,0.918065264372629,0.932357561038153,4456,4348,78.3090016768502,73.7467545731103,86,81,13328.0589332222,12805.5091577975
2022-06-22,0.917026880283022,0.932457937232853,4287,4230,76.1789958860513,72.2215514138578,73,69,12909.0804236334,12526.332962165
2022-06-23,0.91634011843286,0.93262316082269,4285,4261,73.9616881740105,70.7057559182763,80,76,12530.8718610853,12241.6195044334
2022-06-24,0.915963150522029,0.932851031540567,4103,4104,71.7866239060237,69.1913505422757,58,56,12228.4362134269,12009.9941752171
2022-06-25,0.915854148294989,0.933139349119383,3999,4023,69.7688679447676,67.7400867559193,76,74,11945.457766284,11795.1303322623
2022-06-26,0.915971283559608,0.93348591329204,3941,3989,67.9338173351669,66.3933688775681,67,65,11654.2327055939,11573.439643408
2022-06-27,0.916272728080382,0.933888523791439,3741,3810,66.2156424465728,65.1147345475413,71,70,11371.5707554455,11360.0519906729
2022-06-28,0.916716653503312,0.934344980350481,3707,3797,64.5633270561759,63.872666209404,73,72,11063.4077409429,11118.6777895772
2022-06-29,0.917261231512088,0.934853082702067,3635,3745,62.9291273515682,62.6283925389101,72,71,10760.5992359077,10879.5335378083
