fit,Method,n,MAE,WIS,CE
realtime,MechRt,123,0.041017915344043296,0.020909762642180328,0.08177506775067749
realtime,EpiNow2,123,0.042635635495277414,0.023680023326636768,0.16578590785907857
realtime,estimateR,123,0.07298694559304865,0.06177225190220322,0.5628048780487804
realtime,EpiEstim,123,0.07398380533415268,0.06088468252190178,0.5519647696476965
realtime,rtestim,123,0.06582629932278487,0.05414671290051675,0.25426829268292683
realtime,EpiLPS,123,0.06500278461051072,0.05590471111275893,0.585840108401084
