"combo_id","season","week_end_date","spline_type","tail_mode","use_taper","lambda_strategy","combo_label","result_filename"
16,"s2",2023-11-19,"regression","constant",FALSE,"cv_1se","regression_constant_notaper_cv_1se","combo_00016__2023-11-19__regression_constant_notaper_cv_1se.rds"
17,"s2",2023-11-26,"natural","linear",TRUE,"cv_1se","natural_linear_taper_cv_1se","combo_00017__2023-11-26__natural_linear_taper_cv_1se.rds"
18,"s2",2023-11-26,"regression","constant",FALSE,"cv_1se","regression_constant_notaper_cv_1se","combo_00018__2023-11-26__regression_constant_notaper_cv_1se.rds"
19,"s2",2023-12-03,"natural","linear",TRUE,"cv_1se","natural_linear_taper_cv_1se","combo_00019__2023-12-03__natural_linear_taper_cv_1se.rds"
20,"s2",2023-12-03,"regression","constant",FALSE,"cv_1se","regression_constant_notaper_cv_1se","combo_00020__2023-12-03__regression_constant_notaper_cv_1se.rds"
21,"s2",2023-12-10,"natural","linear",TRUE,"cv_1se","natural_linear_taper_cv_1se","combo_00021__2023-12-10__natural_linear_taper_cv_1se.rds"
22,"s2",2023-12-10,"regression","constant",FALSE,"cv_1se","regression_constant_notaper_cv_1se","combo_00022__2023-12-10__regression_constant_notaper_cv_1se.rds"
23,"s2",2023-12-17,"natural","linear",TRUE,"cv_1se","natural_linear_taper_cv_1se","combo_00023__2023-12-17__natural_linear_taper_cv_1se.rds"
24,"s2",2023-12-17,"regression","constant",FALSE,"cv_1se","regression_constant_notaper_cv_1se","combo_00024__2023-12-17__regression_constant_notaper_cv_1se.rds"
25,"s2",2023-12-24,"natural","linear",TRUE,"cv_1se","natural_linear_taper_cv_1se","combo_00025__2023-12-24__natural_linear_taper_cv_1se.rds"
26,"s2",2023-12-24,"regression","constant",FALSE,"cv_1se","regression_constant_notaper_cv_1se","combo_00026__2023-12-24__regression_constant_notaper_cv_1se.rds"
27,"s2",2023-12-31,"natural","linear",TRUE,"cv_1se","natural_linear_taper_cv_1se","combo_00027__2023-12-31__natural_linear_taper_cv_1se.rds"
28,"s2",2023-12-31,"regression","constant",FALSE,"cv_1se","regression_constant_notaper_cv_1se","combo_00028__2023-12-31__regression_constant_notaper_cv_1se.rds"
29,"s2",2024-01-07,"natural","linear",TRUE,"cv_1se","natural_linear_taper_cv_1se","combo_00029__2024-01-07__natural_linear_taper_cv_1se.rds"
30,"s2",2024-01-07,"regression","constant",FALSE,"cv_1se","regression_constant_notaper_cv_1se","combo_00030__2024-01-07__regression_constant_notaper_cv_1se.rds"
31,"s2",2024-01-14,"natural","linear",TRUE,"cv_1se","natural_linear_taper_cv_1se","combo_00031__2024-01-14__natural_linear_taper_cv_1se.rds"
32,"s2",2024-01-14,"regression","constant",FALSE,"cv_1se","regression_constant_notaper_cv_1se","combo_00032__2024-01-14__regression_constant_notaper_cv_1se.rds"
33,"s2",2024-01-21,"natural","linear",TRUE,"cv_1se","natural_linear_taper_cv_1se","combo_00033__2024-01-21__natural_linear_taper_cv_1se.rds"
34,"s2",2024-01-21,"regression","constant",FALSE,"cv_1se","regression_constant_notaper_cv_1se","combo_00034__2024-01-21__regression_constant_notaper_cv_1se.rds"
35,"s2",2024-01-28,"natural","linear",TRUE,"cv_1se","natural_linear_taper_cv_1se","combo_00035__2024-01-28__natural_linear_taper_cv_1se.rds"
36,"s2",2024-01-28,"regression","constant",FALSE,"cv_1se","regression_constant_notaper_cv_1se","combo_00036__2024-01-28__regression_constant_notaper_cv_1se.rds"
37,"s2",2024-02-04,"natural","linear",TRUE,"cv_1se","natural_linear_taper_cv_1se","combo_00037__2024-02-04__natural_linear_taper_cv_1se.rds"
38,"s2",2024-02-04,"regression","constant",FALSE,"cv_1se","regression_constant_notaper_cv_1se","combo_00038__2024-02-04__regression_constant_notaper_cv_1se.rds"
39,"s2",2024-02-11,"natural","linear",TRUE,"cv_1se","natural_linear_taper_cv_1se","combo_00039__2024-02-11__natural_linear_taper_cv_1se.rds"
40,"s2",2024-02-11,"regression","constant",FALSE,"cv_1se","regression_constant_notaper_cv_1se","combo_00040__2024-02-11__regression_constant_notaper_cv_1se.rds"
41,"s2",2024-02-18,"natural","linear",TRUE,"cv_1se","natural_linear_taper_cv_1se","combo_00041__2024-02-18__natural_linear_taper_cv_1se.rds"
42,"s2",2024-02-18,"regression","constant",FALSE,"cv_1se","regression_constant_notaper_cv_1se","combo_00042__2024-02-18__regression_constant_notaper_cv_1se.rds"
43,"s2",2024-02-25,"natural","linear",TRUE,"cv_1se","natural_linear_taper_cv_1se","combo_00043__2024-02-25__natural_linear_taper_cv_1se.rds"
44,"s2",2024-02-25,"regression","constant",FALSE,"cv_1se","regression_constant_notaper_cv_1se","combo_00044__2024-02-25__regression_constant_notaper_cv_1se.rds"
45,"s2",2024-03-03,"natural","linear",TRUE,"cv_1se","natural_linear_taper_cv_1se","combo_00045__2024-03-03__natural_linear_taper_cv_1se.rds"
46,"s2",2024-03-03,"regression","constant",FALSE,"cv_1se","regression_constant_notaper_cv_1se","combo_00046__2024-03-03__regression_constant_notaper_cv_1se.rds"
47,"s2",2024-03-10,"natural","linear",TRUE,"cv_1se","natural_linear_taper_cv_1se","combo_00047__2024-03-10__natural_linear_taper_cv_1se.rds"
48,"s2",2024-03-10,"regression","constant",FALSE,"cv_1se","regression_constant_notaper_cv_1se","combo_00048__2024-03-10__regression_constant_notaper_cv_1se.rds"
49,"s2",2024-03-17,"natural","linear",TRUE,"cv_1se","natural_linear_taper_cv_1se","combo_00049__2024-03-17__natural_linear_taper_cv_1se.rds"
50,"s2",2024-03-17,"regression","constant",FALSE,"cv_1se","regression_constant_notaper_cv_1se","combo_00050__2024-03-17__regression_constant_notaper_cv_1se.rds"
51,"s2",2024-03-24,"natural","linear",TRUE,"cv_1se","natural_linear_taper_cv_1se","combo_00051__2024-03-24__natural_linear_taper_cv_1se.rds"
52,"s2",2024-03-24,"regression","constant",FALSE,"cv_1se","regression_constant_notaper_cv_1se","combo_00052__2024-03-24__regression_constant_notaper_cv_1se.rds"
53,"s2",2024-03-31,"natural","linear",TRUE,"cv_1se","natural_linear_taper_cv_1se","combo_00053__2024-03-31__natural_linear_taper_cv_1se.rds"
54,"s2",2024-03-31,"regression","constant",FALSE,"cv_1se","regression_constant_notaper_cv_1se","combo_00054__2024-03-31__regression_constant_notaper_cv_1se.rds"
55,"s2",2024-04-07,"natural","linear",TRUE,"cv_1se","natural_linear_taper_cv_1se","combo_00055__2024-04-07__natural_linear_taper_cv_1se.rds"
56,"s2",2024-04-07,"regression","constant",FALSE,"cv_1se","regression_constant_notaper_cv_1se","combo_00056__2024-04-07__regression_constant_notaper_cv_1se.rds"
57,"s2",2024-04-14,"natural","linear",TRUE,"cv_1se","natural_linear_taper_cv_1se","combo_00057__2024-04-14__natural_linear_taper_cv_1se.rds"
58,"s2",2024-04-14,"regression","constant",FALSE,"cv_1se","regression_constant_notaper_cv_1se","combo_00058__2024-04-14__regression_constant_notaper_cv_1se.rds"
59,"s2",2024-04-21,"natural","linear",TRUE,"cv_1se","natural_linear_taper_cv_1se","combo_00059__2024-04-21__natural_linear_taper_cv_1se.rds"
60,"s2",2024-04-21,"regression","constant",FALSE,"cv_1se","regression_constant_notaper_cv_1se","combo_00060__2024-04-21__regression_constant_notaper_cv_1se.rds"
