"combo_id","season","week_end_date","spline_type","tail_mode","use_taper","lambda_strategy","combo_label","result_filename"
1,"s2",2023-10-01,"natural","linear",TRUE,"cv_1se","natural_linear_taper_cv_1se","combo_00001__2023-10-01__natural_linear_taper_cv_1se.rds"
2,"s2",2023-10-01,"regression","constant",FALSE,"cv_1se","regression_constant_notaper_cv_1se","combo_00002__2023-10-01__regression_constant_notaper_cv_1se.rds"
3,"s2",2023-10-08,"natural","linear",TRUE,"cv_1se","natural_linear_taper_cv_1se","combo_00003__2023-10-08__natural_linear_taper_cv_1se.rds"
4,"s2",2023-10-08,"regression","constant",FALSE,"cv_1se","regression_constant_notaper_cv_1se","combo_00004__2023-10-08__regression_constant_notaper_cv_1se.rds"
5,"s2",2023-10-15,"natural","linear",TRUE,"cv_1se","natural_linear_taper_cv_1se","combo_00005__2023-10-15__natural_linear_taper_cv_1se.rds"
6,"s2",2023-10-15,"regression","constant",FALSE,"cv_1se","regression_constant_notaper_cv_1se","combo_00006__2023-10-15__regression_constant_notaper_cv_1se.rds"
7,"s2",2023-10-22,"natural","linear",TRUE,"cv_1se","natural_linear_taper_cv_1se","combo_00007__2023-10-22__natural_linear_taper_cv_1se.rds"
8,"s2",2023-10-22,"regression","constant",FALSE,"cv_1se","regression_constant_notaper_cv_1se","combo_00008__2023-10-22__regression_constant_notaper_cv_1se.rds"
9,"s2",2023-10-29,"natural","linear",TRUE,"cv_1se","natural_linear_taper_cv_1se","combo_00009__2023-10-29__natural_linear_taper_cv_1se.rds"
10,"s2",2023-10-29,"regression","constant",FALSE,"cv_1se","regression_constant_notaper_cv_1se","combo_00010__2023-10-29__regression_constant_notaper_cv_1se.rds"
11,"s2",2023-11-05,"natural","linear",TRUE,"cv_1se","natural_linear_taper_cv_1se","combo_00011__2023-11-05__natural_linear_taper_cv_1se.rds"
12,"s2",2023-11-05,"regression","constant",FALSE,"cv_1se","regression_constant_notaper_cv_1se","combo_00012__2023-11-05__regression_constant_notaper_cv_1se.rds"
13,"s2",2023-11-12,"natural","linear",TRUE,"cv_1se","natural_linear_taper_cv_1se","combo_00013__2023-11-12__natural_linear_taper_cv_1se.rds"
14,"s2",2023-11-12,"regression","constant",FALSE,"cv_1se","regression_constant_notaper_cv_1se","combo_00014__2023-11-12__regression_constant_notaper_cv_1se.rds"
15,"s2",2023-11-19,"natural","linear",TRUE,"cv_1se","natural_linear_taper_cv_1se","combo_00015__2023-11-19__natural_linear_taper_cv_1se.rds"
