Row,S1_MAE,S1_CE,S2_MAE,S2_CE,S3_MAE,S3_CE,S4_MAE,S4_CE
MechRt,1.58,9.75,1.77,3.35,3.79,11.43,0.62,3.86
MechRt + jump,0.2,3.27,0.64,10.74,0.3,9.29,NA,NA
EpiNow2,2.69,13.51,2.34,15.9,4.83,4.25,1.21,12.32
estimateR,1.9305737572160628,19.6900826446281,2.420891493890248,12.293388429752063,5.2017069963341305,10.365013774104682,3.19723236764022,18.588154269972453
EpiEstim,4.860074323087803,11.83884297520661,11.775475873891974,73.89118457300276,17.250100458116425,74.16666666666667,29.910808239954108,71.8939393939394
rtestim,3.3681151307374555,20.034435261707987,8.604980622896305,22.734159779614323,12.104853335237147,11.191460055096417,21.43088834499677,24.511019283746556
EpiLPS,3.9564771101204688,15.075757575757573,8.451115218316202,21.34297520661157,12.537237244894134,9.290633608815428,21.265598976683336,58.67079889807162
