date,beta_est
2020-01-12,0.2715922369597894
2020-01-13,0.27710216387828424
2020-01-14,0.2837556640226377
2020-01-15,0.2914635486635422
2020-01-16,0.3001611142267209
2020-01-17,0.3098010867781465
2020-01-18,0.32035117465487584
2020-01-19,0.3317878042888888
2020-01-20,0.3440947806225443
2020-01-21,0.3572628178523299
2020-01-22,0.3712880586337654
2020-01-23,0.3861703489606697
2020-01-24,0.4019114222540383
2020-01-25,0.4185127155970164
2020-01-26,0.43597600010239906
2020-01-27,0.45430439367857783
2020-01-28,0.47350058437023734
2020-01-29,0.49356357088703234
2020-01-30,0.5144858941127679
2020-01-31,0.5362553016877694
2020-02-01,0.55885530173641
2020-02-02,0.5822649416741128
2020-02-03,0.6064542167710725
2020-02-04,0.6313797094853325
2020-02-05,0.6569876658569094
2020-02-06,0.6832144159828051
2020-02-07,0.7099865427741785
2020-02-08,0.7372176911695829
2020-02-09,0.7648033035051444
2020-02-10,0.7926241083606805
2020-02-11,0.8205473182566303
2020-02-12,0.8484275349442674
2020-02-13,0.8761057235257196
2020-02-14,0.9034063037600748
2020-02-15,0.9301401478250918
2020-02-16,0.9561066204878688
2020-02-17,0.9810953953489642
2020-02-18,1.0048887630902044
2020-02-19,1.027264973807379
2020-02-20,1.0479997522820061
2020-02-21,1.0668681750964781
2020-02-22,1.0836468261378736
2020-02-23,1.098118227683692
2020-02-24,1.1100815690047297
2020-02-25,1.1193522559184212
2020-02-26,1.1257615489684722
2020-02-27,1.1291576919696487
2020-02-28,1.1294084121209376
2020-02-29,1.126408247800395
2020-03-01,1.1200785195604022
2020-03-02,1.1103664817586865
2020-03-03,1.0972457646456948
2020-03-04,1.0807190176739068
2020-03-05,1.0608331886553681
2020-03-06,1.0376764662501576
2020-03-07,1.0113703226716517
2020-03-08,0.9820659245758466
2020-03-09,0.9499463080279458
2020-03-10,0.9152741376181812
2020-03-11,0.8783802272898708
2020-03-12,0.8396252971410976
2020-03-13,0.79938312151744
2020-03-14,0.7580321392238747
2020-03-15,0.7159993601247866
2020-03-16,0.6737489143238348
2020-03-17,0.6317308316957166
2020-03-18,0.5903620607085143
2020-03-19,0.5500161980991113
2020-03-20,0.5110346334863738
2020-03-21,0.4737251460098012
2020-03-22,0.43834422647900323
2020-03-23,0.4050946916678559
2020-03-24,0.37412682211199255
2020-03-25,0.3455224004690396
2020-03-26,0.319294716315772
2020-03-27,0.2954203167761792
2020-03-28,0.2738509408150995
2020-03-29,0.2545214170257089
2020-03-30,0.23732855592838614
2020-03-31,0.2221189203402314
2020-04-01,0.20873472775895838
2020-04-02,0.19702493069458135
2020-04-03,0.18684937631338688
2020-04-04,0.1780688312888886
2020-04-05,0.17053165211473806
2020-04-06,0.16409463063767252
2020-04-07,0.15862638050946762
2020-04-08,0.15400678919237742
2020-04-09,0.15012794487418252
2020-04-10,0.14689666169906146
2020-04-11,0.14422869678515238
2020-04-12,0.142046135253804
2020-04-13,0.14027580002696868
2020-04-14,0.13885212145069933
2020-04-15,0.13772822794319214
2020-04-16,0.13686532756993222
2020-04-17,0.13622847214066597
2020-04-18,0.1357855638803716
2020-04-19,0.13550779457759754
2020-04-20,0.13537408185157906
2020-04-21,0.13536758982655311
2020-04-22,0.13547373480193742
2020-04-23,0.13567975782848293
2020-04-24,0.13597408181100135
2020-04-25,0.13634425726409796
2020-04-26,0.136777520504331
2020-04-27,0.13726130786581728
2020-04-28,0.13778316586553113
2020-04-29,0.13833033196258215
2020-04-30,0.13888680364235695
2020-05-01,0.13943409785394217
2020-05-02,0.1399526015466683
2020-05-03,0.14042169128626664
2020-05-04,0.14081994388868194
2020-05-05,0.14112631444016024
2020-05-06,0.1413201871225518
2020-05-07,0.1413809456834514
2020-05-08,0.1412881112220782
2020-05-09,0.14102188641962887
2020-05-10,0.14056990659473018
2020-05-11,0.13992793654650382
2020-05-12,0.13909515632599567
2020-05-13,0.1380736589353781
2020-05-14,0.13686836485618525
2020-05-15,0.13549385475687034
2020-05-16,0.13397616396016854
2020-05-17,0.13234572522309127
2020-05-18,0.1306360198001804
2020-05-19,0.1288827066744441
2020-05-20,0.12712400793380307
2020-05-21,0.12540077488556217
2020-05-22,0.12375472210568031
2020-05-23,0.1222279423455067
2020-05-24,0.12086266880849596
2020-05-25,0.11969605280508544
2020-05-26,0.11875510889156894
2020-05-27,0.11806425381708237
2020-05-28,0.11764691670605004
2020-05-29,0.11752624933661636
2020-05-30,0.1177199964456202
2020-05-31,0.11823187592897819
2020-06-01,0.1190614061863287
2020-06-02,0.12020607202050175
2020-06-03,0.1216616319106799
2020-06-04,0.1234198579482859
2020-06-05,0.1254627586371591
2020-06-06,0.12776662925141083
2020-06-07,0.1303028088486423
2020-06-08,0.1330372027618868
2020-06-09,0.13593080092727097
2020-06-10,0.13894280739853374
2020-06-11,0.14202822184681108
2020-06-12,0.1451367525432803
2020-06-13,0.1482127325728634
2020-06-14,0.15119743817668269
2020-06-15,0.15404026806879953
2020-06-16,0.1566945968643049
2020-06-17,0.15911511056492733
2020-06-18,0.16125828397946199
2020-06-19,0.1630841770592812
2020-06-20,0.16456577218997018
2020-06-21,0.16568648014515452
2020-06-22,0.16643672777259588
2020-06-23,0.1668135731675195
2020-06-24,0.1668205386979327
2020-06-25,0.1664701798016939
2020-06-26,0.1657827125464579
2020-06-27,0.16478355155937002
2020-06-28,0.16350229095953675
2020-06-29,0.1619717535491352
2020-06-30,0.16022725732131646
2020-07-01,0.15830579644954512
2020-07-02,0.15624522562865908
2020-07-03,0.1540836487866827
