fips,date,beta_est,beta_est_smooth,beta_covidestim,beta_covidestim_smooth,beta_wt,beta_wt_smooth,region_name,county_name
04013,2020-02-23,0.919504485804686,1.0387926910375305,0.6508792414752931,0.7208699648639824,0.4750419125480156,0.4967915792106986,Phoenix,Maricopa
04013,2020-02-24,0.9337577521829752,1.019000082123342,0.6599702360418004,0.7077982060517045,0.47555950551578696,0.48982885696901207,Phoenix,Maricopa
04013,2020-02-25,0.9458253689252224,0.999201975611462,0.6675721909340812,0.6947232228027177,0.47628418093160835,0.4828651278057868,Phoenix,Maricopa
04013,2020-02-26,0.9554930217372832,0.9793856617304568,0.6735211589268084,0.6816378479864343,0.476167226660397,0.4758982801562779,Phoenix,Maricopa
04013,2020-02-27,0.9625548978701142,0.959538430708891,0.6776610629778473,0.6685349144722681,0.47521633904827737,0.4689262024557407,Phoenix,Maricopa
04013,2020-02-28,0.9668182730633544,0.9396475727753308,0.6798471282757372,0.6554072551296316,0.47357962223571615,0.46194678313943055,Phoenix,Maricopa
04013,2020-02-29,0.9681116890367564,0.9197012420269493,0.6799507049933425,0.6422485331822113,0.4711497093591831,0.4549583201004592,Phoenix,Maricopa
04013,2020-03-01,0.9662878161103968,0.8996910480353488,0.6778691006768307,0.6290557332707848,0.4677730386059465,0.4479607490633644,Phoenix,Maricopa
04013,2020-03-02,0.9612249881746076,0.8796094642407407,0.6735240377571912,0.6158266703904028,0.46363466912778784,0.4409544152105403,Phoenix,Maricopa
04013,2020-03-03,0.952829450422044,0.8594489640833355,0.6668617762334359,0.6025591595361163,0.45882008054472745,0.4339396637243814,Phoenix,Maricopa
04013,2020-03-04,0.941041499264208,0.8392020210033434,0.6578556748058807,0.5892510157029758,0.45308951244304846,0.4269168397872816,Phoenix,Maricopa
04013,2020-03-05,0.9258653433215084,0.8188652218231838,0.6465140076815566,0.5759028229601301,0.4466003014409069,0.419887344829921,Phoenix,Maricopa
04013,2020-03-06,0.9073670997644993,0.7984516068941109,0.632919955129046,0.56252624167312,0.43937332960855624,0.4128568052761229,Phoenix,Maricopa
04013,2020-03-07,0.8856600441906204,0.7779783299495865,0.6172042143496274,0.5491357012815841,0.4313841190343373,0.4058319037979962,Phoenix,Maricopa
04013,2020-03-08,0.8608965075900751,0.7574625447230736,0.59952048368017,0.5357456312251613,0.4227636655684314,0.39881932306765006,Phoenix,Maricopa
04013,2020-03-09,0.8332688187131756,0.7369214049480346,0.5800427799908993,0.5223704609434903,0.413558410305257,0.39182574575719337,Phoenix,Maricopa
04013,2020-03-10,0.8030723612856103,0.7163758825927488,0.5589721004087709,0.5090269033186354,0.4038319233136988,0.384858715843775,Phoenix,Maricopa
04013,2020-03-11,0.7706950302219663,0.6958622225647636,0.5366235576635026,0.49574080500236384,0.3936053086465302,0.37792922252470135,Phoenix,Maricopa
04013,2020-03-12,0.7365637436918785,0.6754204880064429,0.5133637440761202,0.4825402960888685,0.3830786507903504,0.3710491163023192,Phoenix,Maricopa
04013,2020-03-13,0.7011157200604802,0.6550907420601512,0.4895348643199245,0.4694535066723421,0.37230092734991416,0.3642302476789747,Phoenix,Maricopa
04013,2020-03-14,0.6647845324554162,0.6349130478682523,0.4654490424497158,0.4565085668469773,0.3613721508798179,0.35748446715701415,Phoenix,Maricopa
04013,2020-03-15,0.6280584078003802,0.614928660742807,0.4413918193792682,0.44373396436999785,0.3503860209524715,0.3508237805411091,Phoenix,Maricopa
04013,2020-03-16,0.5914707762987346,0.595183604674662,0.41771041505946327,0.4311596176507506,0.33948851408477615,0.3442608148452303,Phoenix,Maricopa
04013,2020-03-17,0.5555328335559141,0.5757250958243605,0.3947676011753659,0.4188158027616129,0.32878310253384085,0.3378083523856737,Phoenix,Maricopa
