date,beta_est,mask,others_masked,work_outside,shop_indoors,restaurant_indoors,spent_indoors,large_event_indoors,travel_outside_state,smoothed_wothers_distanced_public,smoothed_wpublic_transit_1d
2020-01-08,0.30442954452111043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-09,0.3107347239388923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-10,0.3224179777239756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-11,0.33794509935572176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-12,0.3571439554268996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-13,0.40243569436261967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-14,0.4154063623603869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-15,0.4449585901856328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-16,0.47437556619546994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-17,0.6012640059543155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-18,0.5826892267808711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-19,0.6297375328833789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-20,0.6774352186936065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-21,0.6863150541656315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-22,0.7148665506450398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-23,0.7409310308726159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-24,0.7697726789747618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-25,0.8001355521601454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-26,0.8644863512293426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-27,0.8762520323817496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-28,0.905964886248345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
