date,beta
2020-01-12,0.3470506754316439
2020-01-13,0.3548892045212682
2020-01-14,0.3638387681952419
2020-01-15,0.37378222718146903
2020-01-16,0.3846373683480626
2020-01-17,0.3963474168579754
2020-01-18,0.4088765680273643
2020-01-19,0.42220288886092383
2020-01-20,0.43631570410536524
2020-01-21,0.45121394388177144
2020-01-22,0.466904145821649
2020-01-23,0.48339842455429544
2020-01-24,0.50071230000717315
2020-01-25,0.5188621325754705
2020-01-26,0.5378650131377167
2020-01-27,0.557739261272676
2020-01-28,0.578502882368309
2020-01-29,0.6001706291599026
2020-01-30,0.622751015390921
2020-01-31,0.6462469962183671
2020-02-01,0.6706560833717737
2020-02-02,0.6959703253242843
2020-02-03,0.722172358348031
2020-02-04,0.7492310595736962
2020-02-05,0.7771031125057769
2020-02-06,0.8057327315881279
2020-02-07,0.8350520136716011
2020-02-08,0.8649781647890455
2020-02-09,0.8954083682108521
2020-02-10,0.9262216708028564
2020-02-11,0.9572791587986823
2020-02-12,0.9884249883195286
2020-02-13,1.0194856559235392
2020-02-14,1.0502672728316684
2020-02-15,1.0805576370789323
2020-02-16,1.1101276466364172
2020-02-17,1.1387334366242967
2020-02-18,1.1661191048881714
2020-02-19,1.192020471849272
2020-02-20,1.216167420612486
2020-02-21,1.2382866693003065
2020-02-22,1.2581046268337939
2020-02-23,1.27535246460491
2020-02-24,1.289777377265598
2020-02-25,1.301144647495563
2020-02-26,1.3092399367637566
2020-02-27,1.313871064820745
2020-02-28,1.3148708193478171
2020-02-29,1.3121045990860805
2020-03-01,1.3054719777665251
2020-03-02,1.2949076192253828
2020-03-03,1.280381952584526
2020-03-04,1.2619034758133898
2020-03-05,1.2395329170953717
2020-03-06,1.2133818414409825
2020-03-07,1.1836069844703458
2020-03-08,1.1504050427947763
2020-03-09,1.1140116683592092
2020-03-10,1.074742849382117
2020-03-11,1.032987072834286
2020-03-12,0.9891748527044444
2020-03-13,0.9437569903555305
2020-03-14,0.8971873648903809
2020-03-15,0.849956295159387
2020-03-16,0.8025812500393823
2020-03-17,0.755565446847939
2020-03-18,0.7093758432448489
2020-03-19,0.6644261203600106
2020-03-20,0.6210832478439161
2020-03-21,0.5796675424863708
2020-03-22,0.5404409177941865
2020-03-23,0.5036061751119348
2020-03-24,0.46930854246747133
2020-03-25,0.4376239867068131
2020-03-26,0.4085599759989461
2020-03-27,0.3820824677280778
2020-03-28,0.3581296144215793
2020-03-29,0.33662335531508336
2020-03-30,0.3174544926605555
2020-03-31,0.30047098950997486
2020-04-01,0.2855126911200599
2020-04-02,0.27242197560027254
2020-04-03,0.2610511109063259
2020-04-04,0.2512556580336923
2020-04-05,0.24288212955826885
2020-04-06,0.2357827252344141
2020-04-07,0.22981783893736688
2020-04-08,0.22485676128826665
2020-04-09,0.22077914627572276
2020-04-10,0.2174777466950871
2020-04-11,0.21485407703396167
2020-04-12,0.21281610845400023
2020-04-13,0.2112763920131332
2020-04-14,0.21015429584728632
2020-04-15,0.20938650925091884
2020-04-16,0.20891950474609047
2020-04-17,0.20870629589146006
2020-04-18,0.20870482734605683
2020-04-19,0.20887770304476225
2020-04-20,0.2091960248689442
2020-04-21,0.2096366777947257
2020-04-22,0.21018059698703784
2020-04-23,0.21081197672024762
2020-04-24,0.21151726527997858
2020-04-25,0.2122828868308299
2020-04-26,0.21309526849653082
2020-04-27,0.2139410096937965
2020-04-28,0.21480674317237933
2020-04-29,0.21567875107701143
2020-04-30,0.2165401528216427
2020-05-01,0.21737122591394978
2020-05-02,0.21815041881961916
2020-05-03,0.21885457660897667
2020-05-04,0.21945933885128452
2020-05-05,0.219940427395008
2020-05-06,0.220273959960838
2020-05-07,0.22043625911156592
2020-05-08,0.22040402740178708
2020-05-09,0.22015484586188805
2020-05-10,0.21967360637730893
2020-05-11,0.21895401433631853
2020-05-12,0.2179949939268342
2020-05-13,0.21680002871420448
2020-05-14,0.2153765297616965
2020-05-15,0.213741901687042
2020-05-16,0.21192584185934707
2020-05-17,0.20996459743026194
2020-05-18,0.20789939208536895
2020-05-19,0.2057748511713771
2020-05-20,0.20363881449548737
2020-05-21,0.20154217729300083
2020-05-22,0.19953722151564837
2020-05-23,0.19767702922263422
2020-05-24,0.19601510532522476
2020-05-25,0.19460032535130098
2020-05-26,0.19347139263509985
2020-05-27,0.19266265549600198
2020-05-28,0.19220557458331636
2020-05-29,0.19212998798228575
2020-05-30,0.19245965477714175
2020-05-31,0.19320347501334126
2020-06-01,0.194363114420123
2020-06-02,0.1959348175333701
2020-06-03,0.19791039331528562
2020-06-04,0.2002756122781976
2020-06-05,0.20300468466114044
2020-06-06,0.20606341201143963
2020-06-07,0.20940982832934846
2020-06-08,0.21299423810653398
2020-06-09,0.21676025512022173
2020-06-10,0.2206484770047147
2020-06-11,0.22459519577316367
2020-06-12,0.2285320493083655
2020-06-13,0.23238622864134084
2020-06-14,0.2360829393526409
2020-06-15,0.2395566896471786
2020-06-16,0.24274900150727372
2020-06-17,0.24560676941144854
2020-06-18,0.24808229976641924
2020-06-19,0.25013431926894497
2020-06-20,0.2517363929970169
2020-06-21,0.2528751063617209
2020-06-22,0.25354703036496556
2020-06-23,0.25375752810788127
2020-06-24,0.2535196047677864
2020-06-25,0.2528555877603157
2020-06-26,0.2517956469226623
2020-06-27,0.25037536998276433
2020-06-28,0.24863440901046713
2020-06-29,0.24661519893532446
2020-06-30,0.24436203050462943
2020-07-01,0.24192017904020144
2020-07-02,0.23933512040862645
2020-07-03,0.2366519734783478
2020-07-04,0.23391498265077237
2020-07-05,0.2311651534269218
2020-07-06,0.22843954601740604
2020-07-07,0.22577261885726854
2020-07-08,0.22319652057351572
2020-07-09,0.2207413479844768
2020-07-10,0.21843137281153666
2020-07-11,0.2162831892764671
2020-07-12,0.21430937807097242
2020-07-13,0.21251936506488228
2020-07-14,0.21092020447739737
2020-07-15,0.20951387945161506
2020-07-16,0.20829481918539086
2020-07-17,0.2072535096660442
2020-07-18,0.20637731779382137
2020-07-19,0.2056511775032855
2020-07-20,0.20505780886285982
2020-07-21,0.20457768066617163
2020-07-22,0.20418963957803024
2020-07-23,0.2038711870653062
2020-07-24,0.2035986952419062
2020-07-25,0.2033490296987251
2020-07-26,0.20310257468512696
2020-07-27,0.20284140544143517
2020-07-28,0.20254889598065634
2020-07-29,0.20220952058226677
2020-07-30,0.2018100022872495
2020-07-31,0.20134294660323238
2020-08-01,0.20080457477133618
2020-08-02,0.20019382791012694
2020-08-03,0.1995118996039032
2020-08-04,0.19876214605119985
2020-08-05,0.1979511404749326
2020-08-06,0.19708769646935828
2020-08-07,0.1961822402858467
2020-08-08,0.19524646187722902
2020-08-09,0.1942928715061245
2020-08-10,0.19333383007783447
2020-08-11,0.19238160890007372
2020-08-12,0.19144847033494863
2020-08-13,0.19054662042952122
2020-08-14,0.1896881479795723
2020-08-15,0.1888846404000704
2020-08-16,0.18814727855224386
2020-08-17,0.1874870067001555
2020-08-18,0.18691459180993092
2020-08-19,0.18644058254577098
2020-08-20,0.18607415821788498
2020-08-21,0.18582325338354394
2020-08-22,0.18569518740914245
2020-08-23,0.18569681059957008
2020-08-24,0.18583443849704112
2020-08-25,0.18611031858836347
2020-08-26,0.1865221551679138
2020-08-27,0.18706521046538901
2020-08-28,0.18773259342415238
2020-08-29,0.18851549557442657
2020-08-30,0.18940086657856944
2020-08-31,0.19037054692984948
2020-09-01,0.19140311279757735
