"date","rt_raw","rt_loess","incidence_raw","incidence_loess","expected_cases_raw","expected_cases_loess","obs_cases_raw","obs_cases_loess","I_trace_raw","I_trace_loess"
2022-06-01,1,1,6853,6853,100,100,92,92,18333.1372395818,18333.1372395818
2022-06-02,0.98040901338489,0.941715105840546,6717,6455,100.014428265834,100.014428265834,105,105,18407.783359608,18407.783359608
2022-06-03,0.975013512706729,0.940771550990762,6543,6277,100.12659972394,100.106312394878,75,75,18481.3659619935,18376.4073746221
2022-06-04,0.96980088621256,0.939869800932593,6724,6420,100.344890404205,100.151763834502,133,132,18445.5731063991,18158.942278307
2022-06-05,0.964788641472476,0.939011322516376,6606,6264,100.487690341216,99.8371831803814,96,95,18396.1410095524,17912.4258858676
2022-06-06,0.959994286057209,0.93819758259245,6484,6112,100.462922414463,99.105599596563,108,107,18339.2594084545,17684.0492556434
2022-06-07,0.955435327537331,0.937430048011152,6311,5922,100.315338944457,98.1321114754164,101,98,18235.4544895328,17442.3564195257
2022-06-08,0.951129273482069,0.936710185622821,6382,5976,100.013799560279,97.0043158409637,109,106,18034.4366257687,17134.1306570528
2022-06-09,0.9470936314606,0.936039462277793,6116,5711,99.4553043966045,95.6928469204909,95,91,17826.5360147438,16843.3986532703
2022-06-10,0.94334590904177,0.935419344826407,6066,5660,98.6401704775299,94.2328690269855,102,97,17571.4323754577,16529.6680180052
2022-06-11,0.939903613793924,0.934851300119001,5894,5496,97.6127992525709,92.6820498528279,97,92,17289.8539482758,16211.1446186741
2022-06-12,0.936742838325236,0.934336795005913,5769,5382,96.3785235717791,91.048483273521,103,97,16971.7222491745,15875.7736456976
2022-06-13,0.933822234980773,0.93387729633748,5540,5172,94.9501556636164,89.3401399136832,110,104,16628.408281025,15532.325475158
2022-06-14,0.93113315092765,0.93347427096404,5503,5150,93.3383422056506,87.5589980140325,101,95,16232.5278429874,15152.6368625277
2022-06-15,0.928666933321586,0.933129185735932,5328,4998,91.535982414082,85.6886516203841,119,112,15841.886854662,14790.6664867644
2022-06-16,0.926414929301591,0.932843507503492,5243,4934,89.5829567771962,83.7578268189682,74,69,15460.5078281329,14448.6602187241
2022-06-17,0.924368486046911,0.932618703117059,5134,4851,87.5663668178015,81.8408346015846,97,91,15104.3894187119,14140.0762126163
2022-06-18,0.922518950767956,0.932456239426971,4901,4648,85.5585286020233,79.9977751679951,96,90,14773.0493253813,13863.6089034728
2022-06-19,0.920857670628639,0.932357583283565,4902,4673,83.6034993299065,78.262473326595,102,96,14409.9650877729,13563.2975078718
2022-06-20,0.919375992783301,0.93232420153718,4788,4588,81.6699768278731,76.5970760873112,92,87,14064.6935298613,13285.8420433423
2022-06-21,0.918065264372629,0.932357561038153,4528,4361,79.7468110618544,74.9835885516745,98,93,13752.8982815625,13045.4024208734
2022-06-22,0.917026880283022,0.932457937232853,4592,4451,77.881657588862,73.4614534881417,83,79,13404.1510812162,12772.4342660194
2022-06-23,0.91634011843286,0.93262316082269,4356,4246,76.0441266935103,71.9947019788326,94,89,13086.1492749625,12532.46007722
2022-06-24,0.915963150522029,0.932851031540567,4278,4195,74.2196962080837,70.5639866195079,81,77,12762.8149604994,12288.6797497049
2022-06-25,0.915854148294989,0.933139349119383,4130,4074,72.4276541684344,69.1824430474736,72,69,12439.2532737381,12044.5828058571
2022-06-26,0.915971283559608,0.93348591329204,4031,4001,70.6471652404567,67.8229102621951,87,83,12103.90191309,11787.5037844959
